Customer Id,Recency,Frequency,Monetary,Diversity,Recency_z,Frequency_z,Monetary_z,Cluster,Customer Classify
1,648,1,472.4500122,1,2.491576489,-0.999877092,-0.865732695,2,Churn Customer
2,106,4,1618.660042,7,-0.56942,0.23429727,-0.097977255,0,Potential Customer
3,199,5,3189.200037,9,-0.044193665,0.645688724,0.954003266,0,Potential Customer
4,350,4,1480.709993,6,0.808593179,0.23429727,-0.190379082,0,Potential Customer
5,427,3,1101.919998,5,1.243457994,-0.177094184,-0.444100539,2,Churn Customer
6,616,4,2954.32003,8,2.310853449,0.23429727,0.796675727,2,Churn Customer
7,190,7,4869.640072,7,-0.09502202,1.468471633,2.079597131,3,Loyal Customer
8,96,8,3411.270008,7,-0.62589595,1.879863087,1.102750375,3,Loyal Customer
9,110,5,2947.46007,11,-0.54682962,0.645688724,0.792080782,0,Potential Customer
10,277,2,1130.050007,5,0.396318744,-0.588485638,-0.425258471,0,Potential Customer
11,341,4,2159.280006,8,0.757764824,0.23429727,0.264141299,0,Potential Customer
12,225,8,5553.770046,10,0.102643804,1.879863087,2.537841689,3,Loyal Customer
13,163,4,2814.860019,9,-0.247507085,0.23429727,0.703262496,0,Potential Customer
14,128,7,2159.24004,9,-0.44517291,1.468471633,0.264114528,0,Potential Customer
15,390,1,226.1800003,3,1.034496979,-0.999877092,-1.030689497,2,Churn Customer
16,93,6,2169.970028,8,-0.642838735,1.057080178,0.271301699,0,Potential Customer
17,254,5,3882.810089,9,0.266424059,0.645688724,1.418597779,3,Loyal Customer
18,375,6,3255.320015,7,0.949783054,1.057080178,0.998291809,3,Loyal Customer
19,434,8,3993.230019,11,1.282991159,1.879863087,1.492559356,3,Loyal Customer
20,261,4,1508.680031,4,0.305957224,0.23429727,-0.171644166,0,Potential Customer
21,265,4,2517.67001,9,0.328547604,0.23429727,0.504198415,0,Potential Customer
22,357,5,2515.200039,11,0.848126344,0.645688724,0.502543977,0,Potential Customer
23,471,6,3683.32999,11,1.491952174,1.057080178,1.284981838,3,Loyal Customer
24,648,4,2500.630005,7,2.491576489,0.23429727,0.492784664,2,Churn Customer
25,611,2,791.390007,4,2.282615474,-0.588485638,-0.652100019,2,Churn Customer
26,160,5,2998.900078,7,-0.26444987,0.645688724,0.826536375,0,Potential Customer
27,271,4,1839.91,6,0.362433174,0.23429727,0.050220592,0,Potential Customer
28,266,4,1961.57,5,0.334195199,0.23429727,0.131711003,0,Potential Customer
29,324,2,1237.680031,4,0.661755709,-0.588485638,-0.353165631,2,Churn Customer
30,550,2,999.2000151,7,1.938112179,-0.588485638,-0.512904531,2,Churn Customer
31,497,6,3358.110001,8,1.638789644,1.057080178,1.06714269,3,Loyal Customer
32,296,5,3082.280035,10,0.503623049,0.645688724,0.882386013,0,Potential Customer
33,648,2,1183.870014,4,2.491576489,-0.588485638,-0.389208705,2,Churn Customer
34,102,7,2687.99004,10,-0.59201038,1.468471633,0.618282332,3,Loyal Customer
35,372,4,2115.820038,9,0.932840269,0.23429727,0.235030903,0,Potential Customer
36,137,2,1215.179993,4,-0.394344555,-0.588485638,-0.368236627,1,New Customer
37,146,3,1213.269993,6,-0.3435162,-0.177094184,-0.369515985,0,Potential Customer
38,302,6,2420.510044,8,0.537508619,1.057080178,0.439118639,0,Potential Customer
39,204,5,2719.75005,12,-0.015955691,0.645688724,0.63955585,0,Potential Customer
40,121,7,4634.460037,10,-0.484706075,1.468471633,1.922068627,3,Loyal Customer
41,107,4,2698.410055,7,-0.563772405,0.23429727,0.625261876,0,Potential Customer
42,217,7,2938.270012,11,0.057463044,1.468471633,0.785925089,3,Loyal Customer
43,185,2,1098.480011,6,-0.123259995,-0.588485638,-0.446404714,1,New Customer
44,292,6,2609.540035,8,0.481032669,1.057080178,0.565734879,0,Potential Customer
45,187,5,3006.540062,8,-0.111964805,0.645688724,0.831653796,0,Potential Customer
46,322,5,3521.920056,11,0.650460519,0.645688724,1.17686609,0,Potential Customer
47,591,1,615.8600006,3,2.169663574,-0.999877092,-0.769673686,2,Churn Customer
48,141,4,3268.680039,7,-0.371754175,0.23429727,1.007240632,0,Potential Customer
49,598,3,1226.780006,5,2.209196739,-0.177094184,-0.360466695,2,Churn Customer
50,220,4,1866.280022,8,0.074405829,0.23429727,0.067883784,0,Potential Customer
51,238,7,4116.670036,10,0.176062539,1.468471633,1.57524206,3,Loyal Customer
52,107,4,1758.350014,6,-0.563772405,0.23429727,-0.004409992,0,Potential Customer
53,446,6,4357.050068,7,1.350762299,1.057080178,1.73625363,3,Loyal Customer
54,126,5,2714.000023,8,-0.4564681,0.645688724,0.635704362,0,Potential Customer
55,99,6,4162.320007,11,-0.608953165,1.057080178,1.605819365,3,Loyal Customer
56,127,5,2245.77,8,-0.450820505,0.645688724,0.322074105,0,Potential Customer
