Store Street,Store City,Store State,Store Country,Latitude,Longitude,Store Id
9544 Noble Spring Route,Caguas,PR,Puerto Rico,18.2430439,-66.03705597,5566
14 Dusty Lake Beach,Caguas,PR,Puerto Rico,18.24095535,-66.03705597,5567
4527 Silent Fawn Wharf,Caguas,PR,Puerto Rico,18.25880051,-66.03705597,5568
295 Quaking Timber By-pass,Caguas,PR,Puerto Rico,18.20506668,-66.03705597,5569
1185 Rustic River Thicket,Caguas,PR,Puerto Rico,18.25192452,-66.03705597,5570
9092 Middle Deer Dale,Caguas,PR,Puerto Rico,18.25507736,-66.03705597,5571
4297 Quiet Shadow Quay,Caguas,PR,Puerto Rico,18.26287651,-66.03705597,5572
2060 Cotton Quail Heights,Caguas,PR,Puerto Rico,18.25456238,-66.03705597,5573
3927 Rustic Mews,Caguas,PR,Puerto Rico,18.28713989,-66.03705597,5574
4905 Lazy Stead,Caguas,PR,Puerto Rico,18.22100258,-66.03705597,5575
6007 Velvet Maze,Caguas,PR,Puerto Rico,18.21723557,-66.03705597,5576
595 Hidden Parade,Caguas,PR,Puerto Rico,18.25497246,-66.03705597,5577
9847 Wishing Ledge,Caguas,PR,Puerto Rico,18.20313644,-66.03705597,5578
7538 High Heights,Caguas,PR,Puerto Rico,18.29526138,-66.03705597,5579
379 Honey Maze,Caguas,PR,Puerto Rico,18.22909927,-66.03705597,5580
7894 Colonial Knoll,Caguas,PR,Puerto Rico,18.21255684,-66.03705597,5581
8373 Round Timber Wharf,Caguas,PR,Puerto Rico,18.27461433,-66.03705597,5582
7814 Old Glen,Caguas,PR,Puerto Rico,18.22008896,-66.03705597,5583
7598 Little Maze,Caguas,PR,Puerto Rico,18.2742939,-66.03705597,5584
3892 Dusty Berry Farm,Caguas,PR,Puerto Rico,18.25064468,-66.03705597,5585
2246 Sunny Lake Via,Caguas,PR,Puerto Rico,18.21783447,-66.03705597,5586
1010 Rustic Fox View,Caguas,PR,Puerto Rico,18.26872826,-66.03705597,5587
